Dates,high,avg,low;;
1-07,36,28,21;;
2-07,36,29,22;;
3-07,37,32,27;;
4-07,39,33,27;;
5-07,34,30,28;;
6-07,33,28,23;;
7-07,31,27,23;;
8-07,29,21,19;;
9-07,32,27,22;;
10-07,36,32,28;;
11-07,32,28,25;;
12-07,32,27,22;;
13-07,33,27,22;;
14-07,33,27,22;;
15-07,37,30,24;;
16-07,35,29,23;;
17-07,36,32,29;;
18-07,34,29,24;;
19-07,33,28,23;;
20-07,36,29,23;;
21-07,35,29,23;;
22-07,32,28,24;;
23-07,35,29,24;;
24-07,35,32,29;;
25-07,36,31,26;;
26-07,35,30,26;; 
27-07,35,29,23;; 
28-07,37,31,25;;
29-07,38,32,27;;
30-07,39,32,25;;
31-07,38,31,25;;
